"","Type","LONGITUDE","LATITUDE"
"577","crash ",-87.806945192,41.996923702
"578","crash ",-87.806942911,41.971719315
"579","crash ",-87.806938148,41.997870578
"580","crash ",-87.806935662,42.011820249
"581","crash ",-87.806932522,41.947399191
"582","crash ",-87.806932522,41.947399191
"583","crash ",-87.806929065,41.938985969
"584","crash ",-87.806929065,41.938985969
"585","crash ",-87.806918737,41.97449737
"586","crash ",-87.806918649,41.999889815
"587","crash ",-87.806917318,41.974427803
"588","crash ",-87.806914938,41.975301001
"589","crash ",-87.806914469,42.000259134
"590","crash ",-87.806913486,41.982880739
"591","crash ",-87.806913027,41.975445045
"592","crash ",-87.806912377,42.015440927
"593","crash ",-87.806908468,41.93842225
"594","crash ",-87.806908034,41.997182041
"595","crash ",-87.80690787,41.985980844
"596","crash ",-87.80690787,41.985980844
"597","crash ",-87.806901369,42.006421237
"598","crash ",-87.806898594,41.938140829
"599","crash ",-87.806896749,41.938084468
"600","crash ",-87.806896749,41.938084468
"601","crash ",-87.806896749,41.938084468
"602","crash ",-87.806891105,41.937912034
"603","crash ",-87.806888929,41.946140677
"604","crash ",-87.806873647,41.945685965
"605","crash ",-87.806870985,41.937289633
"606","crash ",-87.806864684,42.004520116
"607","crash ",-87.806864684,42.004520116
"608","crash ",-87.806864684,42.004520116
"609","crash ",-87.806862112,41.977215195
"610","crash ",-87.806859713,41.981207805
"611","crash ",-87.806859713,41.981207805
"612","crash ",-87.806857321,41.936951597
"613","crash ",-87.806852411,41.97813515
"614","crash ",-87.806847034,41.944951861
"615","crash ",-87.806845354,41.936555333
"616","crash ",-87.806844343,42.006361864
"617","crash ",-87.806843248,41.995501906
"618","crash ",-87.806839828,41.978883591
"619","crash ",-87.806839775,41.944782259
"620","crash ",-87.806839775,41.944782259
"621","crash ",-87.806838163,41.979216907
"622","crash ",-87.806834722,41.979623049
"623","crash ",-87.806834722,41.979623049
"624","crash ",-87.806833667,42.007235462
"625","crash ",-87.806831118,41.980203234
"626","crash ",-87.806831118,41.980203234
"627","crash ",-87.806829804,41.980493219
"628","crash ",-87.806829804,41.980493219
"629","crash ",-87.806822342,41.944217201
"630","crash ",-87.806819246,41.935851378
"631","crash ",-87.806817807,41.981010393
"632","crash ",-87.806809579,41.943821628
"633","crash ",-87.806808047,41.935538789
"634","crash ",-87.806807855,41.943765168
"635","crash ",-87.806804653,42.009945494
"636","crash ",-87.806801165,41.943540348
"637","crash ",-87.806794932,41.982815393
"638","crash ",-87.806793832,41.981867448
"639","crash ",-87.806793832,41.981867448
"640","crash ",-87.806788413,42.011357387
"641","crash ",-87.806788413,42.011357387
"642","crash ",-87.806786977,41.9836108
"643","crash ",-87.80678668,42.0116069
"644","crash ",-87.806785965,42.011669086
"645","crash ",-87.806784822,41.98380995
"646","crash ",-87.806783759,42.011860976
"647","crash ",-87.806767806,41.985790473
"648","crash ",-87.806765021,41.986102383
"649","crash ",-87.806762149,41.997095605
"650","crash ",-87.806759777,42.013613566
"651","crash ",-87.806757018,41.986804422
"652","crash ",-87.806752206,42.013432443
"653","crash ",-87.806740065,42.015427921
"654","crash ",-87.806734097,41.941779214
"655","crash ",-87.8067316,41.941722814
"656","crash ",-87.806728648,42.016273029
"657","crash ",-87.806726936,41.941590441
"658","crash ",-87.806726231,42.016441908
"659","crash ",-87.806711146,42.017788944
"660","crash ",-87.806710185,42.017879642
"661","crash ",-87.806701575,41.9408712
"662","crash ",-87.806700858,42.011822287
"663","crash ",-87.806700828,41.997882212
"664","crash ",-87.806700828,41.997882212
"665","crash ",-87.806699876,42.018651514
"666","crash ",-87.806699876,42.018651514
"667","crash ",-87.806699876,42.018651514
"668","crash ",-87.806689674,41.995843088
"669","crash ",-87.806681411,41.994415807
"670","crash ",-87.806671543,41.995344497
"671","crash ",-87.806669695,41.939955376
"672","crash ",-87.806667978,41.939902032
"673","crash ",-87.80664317,41.939217296
"674","crash ",-87.806635134,41.938991756
"675","crash ",-87.806629163,41.938822683
"676","crash ",-87.806627185,41.99946115
"677","crash ",-87.806619429,42.00032261
"678","crash ",-87.806618919,41.997664193
"679","crash ",-87.806614931,42.000668991
"680","crash ",-87.80661056,41.974558469
"681","crash ",-87.806602808,41.938089831
