"","POSTED_SPEED_LIMIT","STREET_NAME","LATITUDE","LONGITUDE","Type","regions","distances"
"195",30,"BROADWAY",41.971171181,-87.659580975,"crash","097","0.9"
"196",30,"BARRY AVE",41.938033159,-87.65091835,"crash","171","1.9"
"197",30,"HURON ST",41.894880581,-87.63573664,"crash","131","0.7"
"198",30,"112TH ST",41.691965135,-87.538508062,"crash","120","1.9"
"199",30,"CICERO AVE",41.929520037,-87.746658227,"crash","044","0.6"
"200",35,"NORTH AVE",41.909773285,-87.726589605,"crash","161","0.1"
"201",30,"CENTRAL AVE",41.907654375,-87.765997959,"crash","043","1.2"
"202",30,"NASHVILLE AVE",41.999872635,-87.791007757,"crash","156","1.5"
"203",30,"18TH ST",41.857853502,-87.65584444,"crash","143","0.9"
"204",30,"CICERO AVE",41.789329323,-87.741645644,"crash","061","1.9"
"205",30,"FOSTER AVE",41.975978082,-87.692059293,"crash","025","1.4"
"206",30,"LA SALLE DR",41.900710586,-87.632694015,"crash","133","0.6"
"207",30,"DR MARTIN LUTHER KING JR DR",41.738424469,-87.614431952,"crash","036","1.9"
"208",30,"ROOSEVELT RD",41.866516199,-87.705611773,"crash","019","0.7"
"209",30,"46TH ST",41.810601391,-87.644312443,"crash","118","2"
"210",30,"BOSWORTH AVE",41.905810862,-87.666088028,"crash","112","0.6"
"211",30,"ASHLAND AVE",41.74298409,-87.663396555,"crash","169","0"
"212",30,"FAIRFIELD AVE",41.985374205,-87.697870045,"crash","024","1.2"
"213",30,"ASHLAND AVE",41.91282413,-87.667898957,"crash","113","0.1"
"214",30,"ORLEANS ST",41.889682961,-87.637120956,"crash","131","1.1"
"215",10,"HARLEM AVE",41.938089831,-87.806602808,"crash","106","1.9"
"216",30,"BELMONT AVE",41.938011899,-87.798192017,"crash","106","1"
"217",30,"LAWRENCE AVE",41.968897017,-87.660886438,"crash","097","0.8"
"218",30,"HARRISON ST",41.874296161,-87.667612811,"crash","077","1"
"219",30,"TOUHY AVE",42.011820249,-87.806935662,"crash","156","3.5"
"220",30,"HUBBARD ST",41.890147355,-87.652325436,"crash","077","1.5"
"221",30,"ELSTON AVE",41.9257764,-87.67873577,"crash","090","0.8"
"222",15,"DOTY AVE E",41.696232528,-87.595806197,"crash","035","4"
"223",30,"DAMEN AVE",41.89451232,-87.676864864,"crash","129","1.3"
"224",10,"WABASH AVE",41.866831454,-87.625669609,"crash","033","0.8"
"225",30,"DAMEN AVE",41.877599792,-87.676695767,"crash","076","1.3"
"226",30,"63RD ST",41.778928016,-87.713294546,"crash","018","1.5"
"227",30,"PULASKI RD",41.705160583,-87.720743752,"crash","048","1.5"
"228",30,"ELSTON AVE",41.950154075,-87.714185197,"crash","089","1.5"
"229",30,"ROSCOE ST",41.942886285,-87.700379465,"crash","028","0.9"
"230",30,"FRANKLIN ST",41.884392919,-87.635229435,"crash","034","1.4"
"231",30,"87TH ST",41.736145128,-87.626917844,"crash","036","1.6"
"232",30,"87TH ST",41.736526636,-87.605812683,"crash","036","2.3"
"233",30,"CLARK ST",42.015501061,-87.674968608,"crash","051","2.3"
"234",35,"79TH ST",41.750043729,-87.679332609,"crash","067","0.9"
"235",30,"SHERIDAN RD",42.002730736,-87.66064411,"crash","093","1.7"
"236",30,"KEELER AVE",41.927959806,-87.731922205,"crash","177","0.8"
"237",30,"WASHBURNE AVE",41.866021548,-87.671524577,"crash","143","1.7"
